Origin,Mode of Transport,Distance,Travel Time,Age Group,Weather,Peak/NoPeak,Day,Carpooling,Age,Eco_Consciousness,Total Congestion,Total Travel Time,Total Costs,Total Emissions
Liverpool,Petrol Car,85.8,1.7,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.808,58.65,11497.2
Newcastle,Petrol Car,57.4,1.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.032,45.87,7691.6
Newcastle,Petrol Car,100.1,1.5,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.36,65.085,13413.4
Birmingham,Petrol Car,150.2,1.9,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.256,87.63,20126.8
Newcastle,Petrol Car,104.4,1.1,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.464,67.02,13989.6
Newcastle,Petrol Car,103.4,1.5,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.36,66.57,13855.6
Liverpool,Petrol Car,85.3,1.5,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.36,58.425,11430.2
Bristol,Petrol Car,69.9,1.4,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.136,51.495,9366.6
Liverpool,Petrol Car,105.7,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,67.605,14163.8
Manchester,Petrol Car,51.1,1.4,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.136,43.035,6847.4
Bristol,Petrol Car,132.6,1.1,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.464,79.71,17768.4
Bristol,Petrol Car,81.9,1.4,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.136,56.895,10974.6
Newcastle,Petrol Car,135,1.4,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.136,80.79,18090
Birmingham,Petrol Car,121.1,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,74.535,16227.4
London,Petrol Car,70.5,2.1,18-24,Rain,Peak,Weekday,3,21,8,2.24,4.704,51.765,9447
London,Petrol Car,94.6,1.6,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.584,62.61,12676.4
Bristol,Petrol Car,120.7,1.5,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.36,74.355,16173.8
London,Petrol Car,84.3,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,57.975,11296.2
Birmingham,Petrol Car,69.8,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,51.45,9353.2
Manchester,Petrol Car,114.3,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,71.475,15316.2
Liverpool,Petrol Car,100.3,1.5,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.36,65.175,13440.2
Bristol,Petrol Car,68.4,1.6,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.584,50.82,9165.6
Manchester,Petrol Car,102.2,0.9,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.016,66.03,13694.8
London,Petrol Car,142.9,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,84.345,19148.6
Birmingham,Petrol Car,68.3,1.6,45-54,Rain,Peak,Weekday,3,50,5,2.24,3.584,50.775,9152.2
Manchester,Petrol Car,138.7,1.2,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.688,82.455,18585.8
Manchester,Petrol Car,90.2,1.2,55-64,Rain,Peak,Weekday,3,60,4,2.24,2.688,60.63,12086.8
Newcastle,Petrol Car,8,1.2,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.688,23.64,1072
London,Petrol Car,98.4,1.6,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.584,64.32,13185.6
Manchester,Petrol Car,102.7,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,66.255,13761.8
Liverpool,Petrol Car,91.9,1.8,35-44,Rain,Peak,Weekday,3,40,6,2.24,4.032,61.395,12314.6
Liverpool,Petrol Car,114.7,1.4,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.136,71.655,15369.8
Bristol,Petrol Car,141.3,1.7,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.808,83.625,18934.2
Birmingham,Petrol Car,96.1,1.4,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.136,63.285,12877.4
Bristol,Petrol Car,119.8,1.6,45-54,Rain,Peak,Weekday,3,50,5,2.24,3.584,73.95,16053.2
Bristol,Petrol Car,55.8,1.8,18-24,Rain,Peak,Weekday,3,21,8,2.24,4.032,45.15,7477.2
Bristol,Petrol Car,81.2,1.7,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.808,56.58,10880.8
Manchester,Petrol Car,87.5,1.7,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.808,59.415,11725
Manchester,Petrol Car,112.3,1.2,35-44,Rain,Peak,Weekday,3,40,6,2.24,2.688,70.575,15048.2
Manchester,Petrol Car,111.2,1.7,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.808,70.08,14900.8
Manchester,Petrol Car,106.9,1,55-64,Rain,Peak,Weekday,3,60,4,2.24,2.24,68.145,14324.6
London,Petrol Car,58.4,0.7,35-44,Rain,Peak,Weekday,3,40,6,2.24,1.568,46.32,7825.6
Liverpool,Petrol Car,124.3,1,65+,Rain,Peak,Weekday,3,68,4,2.24,2.24,75.975,16656.2
London,Petrol Car,120.6,1.9,18-24,Rain,Peak,Weekday,3,21,8,2.24,4.256,74.31,16160.4
Birmingham,Petrol Car,77.9,1,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.24,55.095,10438.6
Birmingham,Petrol Car,112.4,1.4,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.136,70.62,15061.6
Newcastle,Petrol Car,95.6,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,63.06,12810.4
Manchester,Petrol Car,77,1.5,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.36,54.69,10318
Birmingham,Petrol Car,139.9,2.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,5.152,82.995,18746.6
London,Petrol Car,111.7,1.3,35-44,Rain,Peak,Weekday,3,40,6,2.24,2.912,70.305,14967.8
Newcastle,Petrol Car,108.7,1.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.032,68.955,14565.8
Liverpool,Petrol Car,122.7,1.6,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.584,75.255,16441.8
Liverpool,Petrol Car,91,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,60.99,12194
London,Petrol Car,117.1,1.6,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.584,72.735,15691.4
London,Petrol Car,92.8,1.2,65+,Rain,Peak,Weekday,3,68,4,2.24,2.688,61.8,12435.2
Newcastle,Petrol Car,139.1,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,82.635,18639.4
Liverpool,Petrol Car,125.5,0.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,1.792,76.515,16817
Bristol,Petrol Car,67.9,1.3,45-54,Rain,Peak,Weekday,3,50,5,2.24,2.912,50.595,9098.6
Birmingham,Petrol Car,131.5,1.7,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.808,79.215,17621
Birmingham,Petrol Car,121.2,1.6,65+,Rain,Peak,Weekday,3,68,4,2.24,3.584,74.58,16240.8
Liverpool,Petrol Car,98.8,1.6,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.584,64.5,13239.2
Bristol,Petrol Car,74.3,1.4,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.136,53.475,9956.2
Newcastle,Petrol Car,111.7,0.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,1.792,70.305,14967.8
Birmingham,Petrol Car,138.3,1.2,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.688,82.275,18532.2
Newcastle,Petrol Car,106.6,0.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,1.792,68.01,14284.4
Newcastle,Petrol Car,111.3,1.4,45-54,Rain,Peak,Weekday,3,50,5,2.24,3.136,70.125,14914.2
Bristol,Petrol Car,55.8,1.4,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.136,45.15,7477.2
Newcastle,Petrol Car,138.4,1.4,45-54,Rain,Peak,Weekday,3,50,5,2.24,3.136,82.32,18545.6
Bristol,Petrol Car,145.7,1.2,55-64,Rain,Peak,Weekday,3,60,4,2.24,2.688,85.605,19523.8
Manchester,Petrol Car,106.5,1,45-54,Rain,Peak,Weekday,3,50,5,2.24,2.24,67.965,14271
